"player_id","full_name","position","posteam","targets","carries","team_targets","team_carries","catch_percentage","yards_per_carry","yards_per_rec","exp_ppg","games","carry_share","target_share"
"00-0037745","Velus Jones","WR","CHI",0,1,29,16,0,-3,0,0.76,1,0.0625,0
"00-0037746","Brian Robinson","RB","WAS",5,47,99,64,0.6,4.59574468085106,16.3333333333333,12.7833333333333,3,0.734375,0.0505050505050505
"00-0037801","Kavontae Turpin","WR","DAL",4,5,63,74,0.75,4,6.66666666666667,6.17,2,0.0675675675675676,0.0634920634920635
"00-0037809","Chigoziem Okonkwo","TE","TEN",10,0,83,71,0.7,0,6,4.74666666666667,3,0,0.120481927710843
"00-0037816","Romeo Doubs","WR","GB",20,0,96,79,0.55,0,11.7272727272727,12.4,3,0,0.208333333333333
"00-0037834","Brock Purdy","QB","SF",0,10,91,101,0,2.4,0,17.1033333333333,3,0.099009900990099,0
"00-0037837","Calvin Austin","WR","PIT",16,1,104,62,0.5625,-2,13.2222222222222,7.68333333333333,3,0.0161290322580645,0.153846153846154
"00-0037838","Isaiah Likely","TE","BAL",4,0,86,106,0.75,0,10.6666666666667,2.07,3,0,0.0465116279069767
"00-0037840","Kyren Williams","RB","LA",19,39,126,75,0.421052631578947,3.64102564102564,9.375,19.0833333333333,3,0.52,0.150793650793651
"00-0038040","Zamir White","RB","LV",1,5,50,44,1,4.8,5,2.32,2,0.113636363636364,0.02
"00-0038041","Jake Ferguson","TE","DAL",18,0,103,107,0.555555555555556,0,7,12.33,3,0,0.174757281553398
"00-0038045","Isaiah Spiller","RB","LAC",0,3,89,36,0,3.33333333333333,0,0.75,2,0.0833333333333333,0
"00-0038046","Charlie Kolar","TE","BAL",1,0,22,32,0,0,0,2.09,1,0,0.0454545454545455
"00-0038090","Skyy Moore","WR","KC",13,1,118,82,0.538461538461538,4,16,8.10666666666667,3,0.0121951219512195,0.110169491525424
"00-0038092","Erik Ezukanma","WR","MIA",1,5,75,50,0,4.4,0,3.695,2,0.1,0.0133333333333333
"00-0038098","Pierre Strong","RB","CLE",1,8,73,66,0,3.5,0,5.04,2,0.121212121212121,0.0136986301369863
"00-0038102","Kenny Pickett","QB","PIT",0,8,104,62,0,1.125,0,12.3333333333333,3,0.129032258064516,0
"00-0038115","Daniel Bellinger","TE","NYG",2,0,63,39,1,0,4.5,1.305,2,0,0.0317460317460317
"00-0038117","Wan'Dale Robinson","WR","NYG",5,0,33,11,0.8,0,5.25,6.05,1,0,0.151515151515152
"00-0038120","Breece Hall","RB","NYJ",6,26,85,66,0.333333333333333,5.92307692307692,14.5,6.54333333333333,3,0.393939393939394,0.0705882352941176
"00-0038122","Desmond Ridder","QB","ATL",1,13,88,91,1,3.15384615384615,-6,15.8033333333333,3,0.142857142857143,0.0113636363636364
"00-0038129","Cade Otton","TE","TB",11,0,93,84,0.818181818181818,0,8.44444444444444,5.27666666666667,3,0,0.118279569892473
"00-0038134","Kenneth Walker","RB","SEA",10,47,103,76,0.8,4.34042553191489,9.125,18.14,3,0.618421052631579,0.0970873786407767
"00-0038391","Sean Clifford","QB","GB",0,1,27,32,0,0,0,0,1,0.03125,0
"00-0038393","Dontayvion Wicks","WR","GB",12,0,96,79,0.5,0,14.1666666666667,7.68333333333333,3,0,0.125
"00-0038394","Will Mallory","TE","IND",2,0,33,23,1,0,24.5,3.2,1,0,0.0606060606060606
"00-0038397","Evan Hull","RB","IND",1,1,39,26,1,1,6,2.02,1,0.0384615384615385,0.0256410256410256
"00-0038465","Malik Heath","WR","GB",4,0,96,79,0,0,0,2.07,3,0,0.0416666666666667
"00-0038542","Bijan Robinson","RB","ATL",17,39,88,91,0.823529411764706,5.46153846153846,7.28571428571429,16.8566666666667,3,0.428571428571429,0.193181818181818
"00-0038543","Jaxon Smith-Njigba","WR","SEA",14,0,103,76,0.642857142857143,0,6.33333333333333,7.43,3,0,0.135922330097087
"00-0038544","Quentin Johnston","WR","LAC",8,0,122,76,0.625,0,5.2,4.65333333333333,3,0,0.0655737704918033
"00-0038547","Luke Schoonmaker","TE","DAL",2,0,78,77,0.5,0,1,2.915,2,0,0.0256410256410256
"00-0038551","Kendre Miller","RB","NO",1,9,34,22,1,3.77777777777778,0,5.94,1,0.409090909090909,0.0294117647058824
"00-0038555","Tank Bigsby","RB","JAX",2,9,74,62,0,2.55555555555556,0,6.515,2,0.145161290322581,0.027027027027027
"00-0038559","Michael Wilson","WR","ARI",9,0,82,84,0.777777777777778,0,23,4.58,3,0,0.109756097560976
"00-0038563","Tre Tucker","WR","LV",1,1,24,15,0,34,0,2.93,1,0.0666666666666667,0.0416666666666667
